id,name,org_type,created_at
136,Rubber Corp 136,manufacturer,2021-04-02 19:30:28+0000
137,Electronics Plant 137,manufacturer,2025-03-14 03:53:27+0000
138,Global Haulage 138,logistics,2023-07-11 14:57:40+0000
139,Provincial Bureau 139,admin,2026-02-09 19:45:12+0000
140,Freight Distribution 140,logistics,2022-01-28 00:47:55+0000
141,Paper Works 141,manufacturer,2026-05-22 03:58:11+0000
142,Central Commission 142,admin,2021-11-10 21:58:40+0000
143,Paper Factory 143,manufacturer,2023-12-14 07:21:01+0000
144,Electronics Industries 144,manufacturer,2023-11-19 04:15:39+0000
145,Food Factory 145,manufacturer,2024-10-02 12:29:25+0000
146,Pacific Haulage 146,logistics,2025-03-18 10:40:05+0000
147,Direct Express 147,logistics,2023-08-18 20:05:49+0000
148,Speed Haulage 148,logistics,2021-05-09 11:40:24+0000
149,Freight Haulage 149,logistics,2022-03-16 06:43:21+0000
150,United Carriers 150,logistics,2026-07-07 07:12:25+0000
151,Freight Shipping 151,logistics,2022-05-03 03:28:10+0000
152,Paper Fabricators 152,manufacturer,2021-12-29 13:06:31+0000
153,Plastics Factory 153,manufacturer,2020-09-07 08:18:20+0000
154,Electronics Mills 154,manufacturer,2025-11-26 00:38:55+0000
155,Electronics Industries 155,manufacturer,2023-07-12 22:47:33+0000
156,Pharma Plant 156,manufacturer,2023-07-15 18:22:26+0000
157,Cement Mills 157,manufacturer,2023-04-25 01:29:44+0000
158,Provincial Administration 158,admin,2026-07-06 14:52:08+0000
159,Freight Logistics 159,logistics,2022-12-28 21:02:15+0000
160,Furniture Mills 160,manufacturer,2024-07-30 04:38:02+0000
161,Speed Lines 161,logistics,2021-11-16 04:33:24+0000
162,Express Distribution 162,logistics,2024-02-17 20:05:31+0000
163,Plastics Mills 163,manufacturer,2026-02-27 22:52:39+0000
164,Food Manufacturing 164,manufacturer,2025-04-17 06:50:31+0000
165,Direct Distribution 165,logistics,2025-01-12 22:43:27+0000
166,Swift Freight 166,logistics,2025-06-19 22:53:15+0000
167,Cement Plant 167,manufacturer,2021-07-18 14:41:54+0000
168,Furniture Products 168,manufacturer,2021-10-19 14:32:05+0000
169,Trans Distribution 169,logistics,2022-05-14 12:19:01+0000
170,United Distribution 170,logistics,2022-02-22 18:43:42+0000
171,Freight Logistics 171,logistics,2026-05-16 03:17:48+0000
172,Trans Shipping 172,logistics,2025-07-12 22:15:27+0000
173,Glass Works 173,manufacturer,2026-06-01 07:42:14+0000
174,Electronics Corp 174,manufacturer,2020-03-04 07:38:39+0000
175,Prime Transport 175,logistics,2024-01-11 07:16:19+0000
176,Metro Shipping 176,logistics,2023-12-15 19:26:49+0000
177,Pacific Movers 177,logistics,2021-06-05 07:15:55+0000
178,Coastal Freight 178,logistics,2026-08-13 12:21:58+0000
179,Express Freight 179,logistics,2024-12-02 21:51:41+0000
180,Chemical Co. 180,manufacturer,2025-10-05 10:40:27+0000
181,Federal Commission 181,admin,2026-01-30 11:21:38+0000
182,Machinery Corp 182,manufacturer,2020-11-12 14:18:42+0000
183,Express Lines 183,logistics,2021-01-11 02:31:10+0000
184,Metro Logistics 184,logistics,2022-12-14 17:23:20+0000
185,National Movers 185,logistics,2020-08-02 05:47:12+0000
186,Trans Logistics 186,logistics,2023-07-29 01:50:59+0000
187,Global Distribution 187,logistics,2023-01-30 06:41:50+0000
188,United Haulage 188,logistics,2026-01-06 12:45:19+0000
189,Auto Factory 189,manufacturer,2025-07-13 21:37:13+0000
190,Rubber Factory 190,manufacturer,2026-08-03 17:27:10+0000
191,Cargo Lines 191,logistics,2022-04-13 21:01:19+0000
192,Electronics Industries 192,manufacturer,2022-05-16 14:23:50+0000
193,National Division 193,admin,2024-11-05 11:04:09+0000
194,Cargo Movers 194,logistics,2020-03-30 04:01:36+0000
195,Trans Transport 195,logistics,2024-02-23 18:21:29+0000
196,Rubber Fabricators 196,manufacturer,2022-11-23 09:30:12+0000
197,Machinery Fabricators 197,manufacturer,2024-09-22 18:46:58+0000
198,Electronics Industries 198,manufacturer,2022-01-19 20:48:41+0000
199,Freight Express 199,logistics,2026-06-13 12:51:14+0000
200,Food Plant 200,manufacturer,2023-10-24 10:18:58+0000
201,Global Carriers 201,logistics,2021-11-19 11:25:31+0000
202,Electronics Fabricators 202,manufacturer,2025-08-24 20:26:51+0000
203,Freight Express 203,logistics,2024-07-07 12:24:31+0000
204,Paper Factory 204,manufacturer,2022-10-24 17:35:13+0000
205,Food Fabricators 205,manufacturer,2022-08-10 15:28:02+0000
206,Textile Corp 206,manufacturer,2022-09-07 08:57:36+0000
207,Pharma Manufacturing 207,manufacturer,2021-08-18 02:19:48+0000
208,Food Fabricators 208,manufacturer,2026-03-01 04:58:24+0000
209,Pacific Express 209,logistics,2025-01-28 03:56:34+0000
210,Textile Corp 210,manufacturer,2022-07-09 09:44:14+0000
211,Auto Fabricators 211,manufacturer,2020-02-13 22:58:42+0000
212,Rapid Carriers 212,logistics,2020-05-21 09:53:47+0000
213,County Department 213,admin,2025-12-06 19:12:34+0000
214,Metro Authority 214,admin,2020-02-08 02:34:28+0000
215,Freight Haulage 215,logistics,2023-09-30 11:44:03+0000
216,Steel Fabricators 216,manufacturer,2024-01-24 06:04:13+0000
217,Textile Mills 217,manufacturer,2024-03-07 19:16:53+0000
218,Glass Works 218,manufacturer,2021-04-16 09:35:09+0000
219,Machinery Fabricators 219,manufacturer,2020-09-21 15:32:54+0000
220,Central Council 220,admin,2026-07-03 01:02:05+0000
221,Machinery Co. 221,manufacturer,2021-12-02 04:27:08+0000
222,Cargo Haulage 222,logistics,2023-10-07 11:40:14+0000
223,Machinery Mills 223,manufacturer,2022-08-06 18:48:04+0000
224,Swift Lines 224,logistics,2026-04-18 09:03:31+0000
225,Rubber Corp 225,manufacturer,2025-04-27 09:46:52+0000
226,Glass Industries 226,manufacturer,2021-05-02 23:01:32+0000
227,Pharma Industries 227,manufacturer,2021-05-01 07:55:05+0000
228,Food Co. 228,manufacturer,2023-12-30 23:12:50+0000
229,Electronics Fabricators 229,manufacturer,2026-01-05 10:26:51+0000
230,Cement Plant 230,manufacturer,2020-08-09 03:32:51+0000
231,Direct Carriers 231,logistics,2025-04-25 23:42:10+0000
232,Pacific Shipping 232,logistics,2023-08-13 20:39:33+0000
233,Electronics Manufacturing 233,manufacturer,2022-04-05 06:59:33+0000
234,Global Logistics 234,logistics,2021-05-30 12:05:58+0000
235,Metro Lines 235,logistics,2022-06-15 16:21:55+0000
236,Food Fabricators 236,manufacturer,2025-12-13 23:55:30+0000
237,Chemical Factory 237,manufacturer,2024-08-04 15:56:37+0000
238,Global Lines 238,logistics,2020-05-03 20:14:07+0000
239,District Board 239,admin,2022-02-16 20:47:02+0000
240,Electronics Co. 240,manufacturer,2024-12-29 03:03:31+0000
241,City Board 241,admin,2020-05-04 23:53:27+0000
242,Rapid Haulage 242,logistics,2024-05-31 08:44:54+0000
243,Direct Carriers 243,logistics,2021-07-17 20:48:40+0000
244,Federal Division 244,admin,2020-10-10 11:31:36+0000
245,Cargo Movers 245,logistics,2022-09-24 11:50:19+0000
246,United Transport 246,logistics,2022-10-21 15:56:37+0000
247,Food Fabricators 247,manufacturer,2025-08-20 13:48:33+0000
248,County Administration 248,admin,2023-11-14 02:16:41+0000
249,Chemical Products 249,manufacturer,2020-12-26 03:44:27+0000
250,Federal Council 250,admin,2020-01-04 13:49:46+0000
251,Speed Haulage 251,logistics,2023-07-07 21:58:21+0000
252,Pharma Products 252,manufacturer,2025-04-18 10:56:46+0000
253,National Haulage 253,logistics,2026-06-19 05:00:07+0000
254,Chemical Factory 254,manufacturer,2021-02-11 01:03:15+0000
255,Metro Division 255,admin,2021-01-12 06:11:07+0000
256,Glass Co. 256,manufacturer,2022-01-13 11:18:43+0000
257,Express Express 257,logistics,2020-02-12 11:38:31+0000
258,Global Shipping 258,logistics,2020-12-18 12:16:27+0000
259,Global Transport 259,logistics,2024-03-28 09:34:15+0000
260,City Council 260,admin,2025-12-31 15:18:12+0000
261,Cement Plant 261,manufacturer,2024-01-07 03:15:32+0000
262,Pharma Manufacturing 262,manufacturer,2023-04-06 18:14:47+0000
263,Machinery Factory 263,manufacturer,2026-05-07 15:36:19+0000
264,Central Department 264,admin,2026-07-28 14:50:01+0000
265,Cargo Movers 265,logistics,2024-04-26 11:39:55+0000
266,Steel Fabricators 266,manufacturer,2026-03-05 18:17:07+0000
267,Machinery Co. 267,manufacturer,2025-08-12 08:44:57+0000
268,Rapid Haulage 268,logistics,2024-07-31 07:28:43+0000
269,Trans Express 269,logistics,2026-06-28 03:54:35+0000
270,Freight Movers 270,logistics,2021-08-09 02:56:25+0000
271,National Board 271,admin,2023-04-04 20:22:34+0000
272,Rubber Mills 272,manufacturer,2020-05-15 14:34:42+0000
273,Food Mills 273,manufacturer,2023-04-14 12:07:05+0000
274,State Division 274,admin,2020-04-25 00:22:57+0000
275,Machinery Products 275,manufacturer,2020-11-07 19:43:36+0000
276,Metro Authority 276,admin,2024-06-22 01:45:18+0000
277,Regional Office 277,admin,2023-06-27 18:13:16+0000
278,State Authority 278,admin,2023-12-29 15:45:23+0000
279,Express Movers 279,logistics,2025-04-20 09:35:21+0000
280,National Freight 280,logistics,2022-10-17 19:37:32+0000
281,County Commission 281,admin,2022-09-10 19:58:01+0000
282,Direct Haulage 282,logistics,2024-08-07 21:04:40+0000
283,Textile Corp 283,manufacturer,2025-05-14 22:46:35+0000
284,Express Shipping 284,logistics,2026-05-09 02:56:10+0000
285,Textile Industries 285,manufacturer,2023-10-10 11:04:14+0000
286,Chemical Works 286,manufacturer,2020-05-22 21:20:06+0000
287,Steel Fabricators 287,manufacturer,2023-01-18 16:57:51+0000
288,Auto Corp 288,manufacturer,2024-07-08 06:37:53+0000
289,Glass Manufacturing 289,manufacturer,2021-06-12 02:53:58+0000
290,Machinery Mills 290,manufacturer,2025-04-09 08:57:14+0000
291,Freight Lines 291,logistics,2021-03-20 15:37:51+0000
292,Glass Fabricators 292,manufacturer,2023-11-28 20:03:36+0000
293,Steel Plant 293,manufacturer,2022-06-12 15:22:16+0000
294,Rapid Freight 294,logistics,2023-10-04 09:45:35+0000
295,Provincial Department 295,admin,2025-06-08 02:43:21+0000
296,City Division 296,admin,2022-07-27 15:49:28+0000
297,Furniture Plant 297,manufacturer,2020-11-27 08:38:39+0000
298,Machinery Products 298,manufacturer,2024-11-20 21:05:03+0000
299,Paper Fabricators 299,manufacturer,2020-03-09 03:56:05+0000
300,Federal Department 300,admin,2020-01-26 03:49:41+0000
